RTM_Spread_Avg,HourInt,DeliveryDate,HourEnding_node,BusName_node,LMP_node,DSTFlag_node,HourEnding_hub,BusName_hub,LMP_hub,DSTFlag_hub,DAM_Spread,Alpha_PnL,Net_PnL,Node,DAM_Bus,DAM_Hub,Date
-36.70153846153846,7,2026-01-25,07:00,BRAUNIG_VHB3,550.17,False,07:00,NORTH,424.67,False,-125.49999999999994,88.79846153846148,87.79846153846148,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-54.934999999999995,8,2026-01-25,08:00,BRAUNIG_VHB3,632.74,False,08:00,NORTH,479.78,False,-152.96000000000004,98.02500000000003,97.02500000000003,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-34.0025,9,2026-01-25,09:00,BRAUNIG_VHB3,704.81,False,09:00,NORTH,514.83,False,-189.9799999999999,155.9774999999999,154.9774999999999,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-31.555714285714284,10,2026-01-25,10:00,BRAUNIG_VHB3,783.03,False,10:00,NORTH,556.21,False,-226.81999999999994,195.26428571428565,194.26428571428565,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-27.16764705882353,11,2026-01-25,11:00,BRAUNIG_VHB3,1012.02,False,11:00,NORTH,796.68,False,-215.34000000000003,188.1723529411765,187.1723529411765,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-8.149166666666664,12,2026-01-25,12:00,BRAUNIG_VHB3,597.57,False,12:00,NORTH,542.58,False,-54.99000000000001,46.84083333333334,45.84083333333334,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-7.925384615384611,13,2026-01-25,13:00,BRAUNIG_VHB3,503.32,False,13:00,NORTH,469.19,False,-34.129999999999995,26.204615384615384,25.204615384615384,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-8.09133333333333,14,2026-01-25,14:00,BRAUNIG_VHB3,517.66,False,14:00,NORTH,484.27,False,-33.389999999999986,25.298666666666655,24.298666666666655,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-13.89153846153846,15,2026-01-25,15:00,BRAUNIG_VHB3,439.05,False,15:00,NORTH,445.16,False,6.110000000000014,-20.001538461538473,-21.001538461538473,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-16.519230769230774,16,2026-01-25,16:00,BRAUNIG_VHB3,342.88,False,16:00,NORTH,344.31,False,1.4300000000000068,-17.94923076923078,-18.94923076923078,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-14.682142857142859,17,2026-01-25,17:00,BRAUNIG_VHB3,425.76,False,17:00,NORTH,382.55,False,-43.20999999999998,28.527857142857123,27.527857142857123,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-34.52846153846154,18,2026-01-25,18:00,BRAUNIG_VHB3,893.78,False,18:00,NORTH,699.61,False,-194.16999999999996,159.6415384615384,158.6415384615384,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-110.35153846153844,19,2026-01-25,19:00,BRAUNIG_VHB3,1746.36,False,19:00,NORTH,1325.44,False,-420.91999999999985,310.5684615384614,309.5684615384614,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
413.2291666666667,20,2026-01-25,20:00,BRAUNIG_VHB3,1782.51,False,20:00,NORTH,1370.39,False,-412.1199999999999,825.3491666666666,824.3491666666666,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-74.36500000000001,21,2026-01-25,21:00,BRAUNIG_VHB3,1956.39,False,21:00,NORTH,1524.86,False,-431.5300000000002,357.1650000000002,356.1650000000002,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-303.4725,22,2026-01-25,22:00,BRAUNIG_VHB3,1860.23,False,22:00,NORTH,1392.52,False,-467.71000000000004,164.2375,163.2375,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-493.0175,23,2026-01-25,23:00,BRAUNIG_VHB3,2294.51,False,23:00,NORTH,1753.28,False,-541.2300000000002,48.21250000000026,47.21250000000026,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-405.3692307692308,24,2026-01-25,24:00,BRAUNIG_VHB3,2102.0,False,24:00,NORTH,1677.14,False,-424.8599999999999,19.490769230769104,18.490769230769104,BRAUNIG_VHB3,BRAUNIG_VHB3,NORTH,2026-01-25
-28.462499999999995,1,2026-01-25,01:00,BRAZ_WND_ALL,452.95,False,01:00,NORTH,475.0,False,22.05000000000001,-50.5125,-51.5125,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-22.913333333333327,2,2026-01-25,02:00,BRAZ_WND_ALL,458.19,False,02:00,NORTH,483.99,False,25.80000000000001,-48.71333333333334,-49.71333333333334,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
