RTM_Spread_Avg,HourInt,DeliveryDate,HourEnding_node,BusName_node,LMP_node,DSTFlag_node,HourEnding_hub,BusName_hub,LMP_hub,DSTFlag_hub,DAM_Spread,Alpha_PnL,Net_PnL,Node,DAM_Bus,DAM_Hub,Date
-113.06083333333333,1,2026-01-25,01:00,BRTSW_BCW1,480.47,False,01:00,NORTH,475.0,False,-5.470000000000027,-107.59083333333331,-108.59083333333331,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-137.68416666666664,2,2026-01-25,02:00,BRTSW_BCW1,490.48,False,02:00,NORTH,483.99,False,-6.490000000000009,-131.19416666666663,-132.19416666666663,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-108.37333333333333,3,2026-01-25,03:00,BRTSW_BCW1,457.65,False,03:00,NORTH,470.22,False,12.57000000000005,-120.94333333333338,-121.94333333333338,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-21.570833333333336,4,2026-01-25,04:00,BRTSW_BCW1,496.2,False,04:00,NORTH,517.56,False,21.359999999999957,-42.9308333333333,-43.9308333333333,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-0.48999999999999927,5,2026-01-25,05:00,BRTSW_BCW1,497.12,False,05:00,NORTH,512.92,False,15.799999999999955,-16.289999999999953,-17.289999999999953,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-1.6750000000000018,6,2026-01-25,06:00,BRTSW_BCW1,635.19,False,06:00,NORTH,659.37,False,24.17999999999995,-25.85499999999995,-26.85499999999995,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-2.566923076923075,7,2026-01-25,07:00,BRTSW_BCW1,411.67,False,07:00,NORTH,424.67,False,13.0,-15.566923076923075,-16.566923076923075,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-4.1175,8,2026-01-25,08:00,BRTSW_BCW1,469.62,False,08:00,NORTH,479.78,False,10.159999999999968,-14.277499999999968,-15.277499999999968,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-2.7449999999999974,9,2026-01-25,09:00,BRTSW_BCW1,522.29,False,09:00,NORTH,514.83,False,-7.459999999999923,4.714999999999925,3.7149999999999253,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-2.1457142857142832,10,2026-01-25,10:00,BRTSW_BCW1,557.1,False,10:00,NORTH,556.21,False,-0.8899999999999864,-1.2557142857142969,-2.255714285714297,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-3.29294117647059,11,2026-01-25,11:00,BRTSW_BCW1,816.0,False,11:00,NORTH,796.68,False,-19.32000000000005,16.027058823529458,15.027058823529458,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
-1.5541666666666671,12,2026-01-25,12:00,BRTSW_BCW1,570.07,False,12:00,NORTH,542.58,False,-27.49000000000001,25.935833333333342,24.935833333333342,BRTSW_BCW1,BRTSW_BCW1,NORTH,2026-01-25
